"Study Area","Transect Name","Point Id","Event Date","Vegetation Type","USDA Code","Percent Cover","Height"
"Pine Creek [studyarea]","Pine Creek",PICR_30,2017-05-04,trees,ACER,,
"Pine Creek [studyarea]","Pine Creek",PICR_30,2017-05-04,grassesAndForbs,ACMI2,,
"Pine Creek [studyarea]","Pine Creek",PICR_30,2017-05-04,trees,ALRH2,,
"Pine Creek [studyarea]","Pine Creek",PICR_30,2017-05-04,grassesAndForbs,APAR2,,
"Pine Creek [studyarea]","Pine Creek",PICR_30,2017-05-04,shrubs,BAPI,,
"Pine Creek [studyarea]","Pine Creek",PICR_30,2017-05-04,grassesAndForbs,BRHO2,,
"Pine Creek [studyarea]","Pine Creek",PICR_30,2017-05-04,grassesAndForbs,BRTO,,
"Pine Creek [studyarea]","Pine Creek",PICR_30,2017-05-04,grassesAndForbs,CESO3,,
"Pine Creek [studyarea]","Pine Creek",PICR_30,2017-05-04,grassesAndForbs,COAR4,,
"Pine Creek [studyarea]","Pine Creek",PICR_30,2017-05-04,grassesAndForbs,LASE,,
"Pine Creek [studyarea]","Pine Creek",PICR_30,2017-05-04,grassesAndForbs,MURI2,,
"Pine Creek [studyarea]","Pine Creek",PICR_30,2017-05-04,grassesAndForbs,PLLA,,
"Pine Creek [studyarea]","Pine Creek",PICR_30,2017-05-04,shrubs,ROCA2,,
"Pine Creek [studyarea]","Pine Creek",PICR_30,2017-05-04,grassesAndForbs,RUCR,,
"Pine Creek [studyarea]","Pine Creek",PICR_30,2017-05-04,grassesAndForbs,SOAS,,
"Pine Creek [studyarea]","Pine Creek",PICR_30,2017-05-04,shrubs,TODI,,
