"Study Area","Transect Name","Point Id","Date","Point Index","Direction","Canopy1","Canopy2","Canopy3","Top Layer","Height","Lower1","Lower2","Lower3","Lower4","Lower5","Lower6","Lower7","Lower8","Lower9","Lower10","Soil Surface","Thatch Indices Lower","Thatch Top Layer"
"Santa Clara County",SVOS,SVOS-01,2019-07-18,15,30,,,,AVFA,39,BRHO2,HOMA2,LOPEM2,L,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,16,30,,,,AVFA,20,LOPEM2,BRHO2,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,17,30,,,,LOPEM2,26,MEPO3,BRHO2,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,18,30,,,,LOPEM2,19,AVBA,L,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,19,30,,,,AVBA,40,LOPEM2,BRHO2,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,20,30,,,,AVFA,38,LOPEM2,L,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,21,30,,,,LOPEM2,46,AVFA,BRHO2,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,22,30,,,,LOPEM2,38,AVBA,L,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,23,30,,,,LOPEM2,29,BRDI3,AVBA,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,24,30,,,,AVFA,58,VICIA,LOPEM2,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,25,30,,,,AVFA,50,LOTUS,LOPEM2,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,26,30,,,,LOPEM2,41,BRDI3,BRHO2,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,27,30,,,,AVFA,48,LOPEM2,L,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,28,30,,,,AVFA,41,LOPEM2,BRHO2,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,29,30,,,,AVFA,38,LOPEM2,BRDI3,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,30,30,,,,AVFA,42,L,,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,31,30,,,,LOPEM2,29,BRHO2,MEPO3,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,32,30,,,,LOPEM2,22,BRHO2,L,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,33,30,,,,AVBA,36,LOPEM2,L,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,34,30,,,,AVBA,48,BRDI3,LOPEM2,VICIA,L,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,35,30,,,,AVFA,83,LOPEM2,BRHO2,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,36,30,,,,AVBA,56,HOMU,LOPEM2,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,37,30,,,,LOPEM2,46,AVBA,HOMU,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,38,30,,,,ERBO,44,AVFA,BRHO2,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,39,30,,,,ERBO,42,AVFA,LOPEM2,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,40,30,,,,AVBA,58,ERBO,L,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,41,30,,,,AVBA,44,LOPEM2,HOMU,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,42,30,,,,AVBA,69,LOPEM2,ERBO,BRHO2,L,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,43,30,,,,AVBA,60,LOPEM2,BRDI3,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,44,30,,,,AVFA,30,ERBO,L,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,45,30,,,,AVBA,57,VICIA,LOPEM2,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,46,30,,,,LOPEM2,41,AVBA,VICIA,BRHO2,L,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,47,30,,,,BRHO2,21,AVBA,L,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,48,30,,,,LOPEM2,15,AVBA,L,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,49,30,,,,AVBA,39,BRHO2,L,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,50,30,,,,ASTERA,48,AVBA,BRHO2,LOPEM2,L,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,1,210,,,,AVBA,47,HOMU,LOPEM2,BRDI3,L,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,2,210,,,,BRASS2,68,LOPEM2,BRDI3,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,3,210,,,,AVFA,48,LOPEM2,BRDI3,HOMU,L,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,4,210,,,,BRASS2,76,LOPEM2,L,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,5,210,,,,BRASS2,66,LOPEM2,HOMU,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,6,210,,,,BRASS2,40,LOPEM2,L,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,7,210,,,,BRASS2,46,LOPEM2,,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,8,210,,,,BRASS2,58,LOPEM2,,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,9,210,,,,BRASS2,62,BRHO2,L,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,10,210,,,,AVBA,56,HOMU,ERBO,BRHO2,L,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,11,210,,,,AVBA,50,LOPEM2,VUMY,BRHO2,L,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,12,210,,,,AVBA,43,LOPEM2,MEPO3,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,13,210,,,,AVBA,61,BRHO2,LOPEM2,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,14,210,,,,AVBA,58,LOPEM2,HOMU,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,15,210,,,,AVBA,47,LOPEM2,LOPEM2,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,16,210,,,,AVBA,53,HOMU,L,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,17,210,,,,AVBA,44,HOMU,BRDI3,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,18,210,,,,AVBA,75,LOPEM2,BRHO2,BRDI3,L,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,19,210,,,,AVBA,48,LOPEM2,BRHO2,BRDI3,L,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,20,210,,,,AVBA,36,LOPEM2,BRHO2,BRDI3,L,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,21,210,,,,AVBA,49,BRHO2,LOPEM2,HOMU,L,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,22,210,,,,AVBA,61,HOMU,LOPEM2,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,23,210,,,,AVBA,47,LOPEM2,ERBO,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,24,210,,,,AVBA,63,BRDI3,LOPEM2,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,25,210,,,,AVBA,42,BRDI3,BRHO2,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,26,210,,,,AVBA,29,BRDI3,BRDI3,LOPEM2,L,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,27,210,,,,BRDI3,24,HOMU,AVBA,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,28,210,,,,AVBA,55,BRDI3,HOMU,LOPEM2,L,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,29,210,,,,AVBA,45,BRHO2,BRDI3,HOMU,L,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,30,210,,,,AVBA,33,BRDI2,LOPEM2,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,31,210,,,,LOPEM2,35,AVBA,HOMU,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,32,210,,,,AVBA,38,BRDI3,VICIA,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,33,210,,,,AVBA,41,BRDI3,LOPEM2,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,34,210,,,,AVBA,30,LOPEM2,BRDI3,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,35,210,,,,AVBA,52,AMSIN,LOPEM2,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,36,210,,,,AMSIN,38,BRDI3,HOMU,LOPEM2,L,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,37,210,,,,AVBA,45,LOPEM2,BRHO2,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,38,210,,,,,21,HOMU,BRDI3,LOPEM2,L,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,39,210,,,,AVENA,38,LOPEM2,HOMU,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,40,210,,,,BRDI3,42,AVBA,HOMU,LOPEM2,L,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,41,210,,,,LOPEM2,40,AVBA,BRHO2,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,42,210,,,,LOPEM2,48,HOMU,L,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,43,210,,,,AVBA,32,BRDI3,VICIA,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,44,210,,,,AVBA,45,BRDI3,HOMU,LOPEM2,L,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,45,210,,,,AVBA,28,BRHO2,LOPEM2,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,46,210,,,,AVBA,68,LOPEM2,L,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,47,210,,,,AVBA,52,HOMU,BRDI3,LOPEM2,L,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,48,210,,,,HOMU,38,LOPEM2,AVBA,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,49,210,,,,AVBA,35,LOPEM2,HOMU,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-01,2019-07-18,50,210,,,,HOMU,41,AVBA,LOPEM2,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,1,297,,,,AVBA,47,ERBO,LOPEM2,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,2,297,,,,AVBA,23,ERBO,,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,3,297,,,,LOPEM2,5,BRHO2,ERBO,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,4,297,,,,MEPO3,3,,,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,5,297,,,,MEPO3,2,,,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,6,297,,,,MEPO3,1,,,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,7,297,,,,AVBA,31,BRHO2,VUMY,HOMA2,L,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,8,297,,,,LOPEM2,34,AVBA,ERBO,TRHI4,L,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,9,297,,,,AVBA,48,LOPEM2,BRDI3,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,10,297,,,,LOPEM2,8,BRHO2,L,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,11,297,,,,AVBA,41,BRHO2,L,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,12,297,,,,AVBA,29,,,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,13,297,,,,AVBA,21,TRHI4,L,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,14,297,,,,AVBA,18,BRHO2,L,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,15,297,,,,AVBA,17,L,,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,16,297,,,,AVBA,9,L,,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,17,297,,,,ERBO,7,TRHI4,L,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,18,297,,,,AVBA,13,BRHO2,ERBO,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,19,297,,,,AVBA,10,TRHI4,ERBO,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,20,297,,,,LOTUS,11,VUMY,TRHI4,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,21,297,,,,BRHO2,10,BRDI3,TRHI4,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,22,297,,,,NOPLANT,,,,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,23,297,,,,NOPLANT,,,,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,24,297,,,,LOPEM2,9,BRDI2,BRHO2,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,25,297,,,,BRDI3,12,ERBO,BRHO2,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,26,297,,,,BRDI2,8,ERBO,L,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,27,297,,,,ERBO,15,BRDI2,L,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,28,297,,,,AVBA,24,BRHO2,ERBO,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,29,297,,,,AVBA,49,BRDI3,BRDI2,BRHO2,L,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,30,297,,,,LOPEM2,38,BRDI3,AVBA,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,31,297,,,,AVBA,61,BRHO2,LOPEM2,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,32,297,,,,AVBA,65,ERBO,BRHO2,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,33,297,,,,AVBA,42,LOPEM2,BRDI2,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,34,297,,,,AVBA,56,LOPEM2,ERBO,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,35,297,,,,AVBA,56,LOPEM2,ERBO,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,36,297,,,,AVBA,63,LOPEM2,BRHO2,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,37,297,,,,AVBA,43,BRHO2,L,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,38,297,,,,AVBA,40,BRHO2,LOPEM2,ERBO,L,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,39,297,,,,BRHO2,37,LOPEM2,AVBA,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,40,297,,,,BRHO2,19,LOPEM2,L,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,41,297,,,,AVBA,55,LOPEM2,ERBO,HOMU,L,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,42,297,,,,AVBA,49,LOPEM2,ERBO,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,43,297,,,,AVBA,57,LOPEM2,ERBO,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,44,297,,,,NAPU4,66,AVBA,LOPEM2,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,45,297,,,,NAPU4,58,LOPEM2,ERBO,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,46,297,,,,NAPU4,46,AVBA,L,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,47,297,,,,NAPU4,44,BRHO2,AVBA,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,48,297,,,,NAPU4,48,AVBA,BRHO2,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,49,297,,,,NAPU4,39,AVBA,ERBO,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,50,297,,,,NAPU4,50,ERBO,BRHO2,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,1,117,,,,LOPEM2,36,AVBA,BRHO2,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,2,117,,,,LOPEM2,9,AVBA,L,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,3,117,,,,AVBA,34,BRHO2,LOPEM2,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,4,117,,,,AVBA,36,BRDI3,BRHO2,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,5,117,,,,LOPEM2,38,AVBA,BRHO2,HOMU,L,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,6,117,,,,LOPEM2,41,AVBA,MEPO3,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,7,117,,,,AVBA,50,LOPEM2,BRDI3,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,8,117,,,,LOPEM2,41,AVBA,ERBO,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,9,117,,,,BRHO2,12,LOPEM2,COAR4,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,10,117,,,,LOPEM2,23,HOMU,BRHO2,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,11,117,,,,AVBA,38,LOPEM2,BRHO2,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,12,117,,,,TRIFO,9,HOMU,LOPEM2,AVBA,L,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,13,117,,,,AVBA,18,LOPEM2,HOMU,BRHO2,L,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,14,117,,,,AVBA,16,LOPEM2,BRHO2,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,15,117,,,,AVFA,35,LOPEM2,BRHO2,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,16,117,,,,AVFA,22,HOMU,LOPEM2,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,17,117,,,,AVFA,20,TRHI4,L,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,18,117,,,,AVBA,18,LOPEM2,TRHI4,BRHO2,L,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,19,117,,,,AVBA,14,TRHI4,LOPEM2,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,20,117,,,,AVBA,10,LOPEM2,TRHI4,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,21,117,,,,AVBA,37,LOPEM2,L,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,22,117,,,,AVBA,34,BRHO2,L,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,23,117,,,,AVBA,29,LOPEM2,AVFA,BRHO2,L,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,24,117,,,,AVBA,59,LOPEM2,BRHO2,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,25,117,,,,AVBA,52,LOPEM2,BRDI3,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,26,117,,,,AVBA,64,AVFA,LOPEM2,ERBO,L,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,27,117,,,,AVBA,48,LOPEM2,BRHO2,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,28,117,,,,AVBA,30,BRHO2,VUMY,TRHI4,L,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,29,117,,,,AVBA,32,BRHO2,ERBO,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,30,117,,,,BRHO2,18,VUMY,TRHI4,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,31,117,,,,AVBA,10,VUMY,TRHI4,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,32,117,,,,AVBA,13,BRHO2,ERBO,TRHI4,L,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,33,117,,,,AVBA,14,BRHO2,TRHI4,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,34,117,,,,AVBA,15,BRHO2,TRHI4,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,35,117,,,,AVBA,16,TRHI4,BRHO2,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,36,117,,,,AVBA,15,BRHO2,LOPEM2,TRHI4,L,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,37,117,,,,LOPEM2,17,AVBA,L,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,38,117,,,,BRHO2,6,AVBA,L,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,39,117,,,,AVBA,30,BRHO2,L,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,40,117,,,,AVBA,28,,,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,41,117,,,,LOPEM2,30,AVBA,ERBO,BRHO2,L,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,42,117,,,,AVBA,56,LOPEM2,COAR4,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,43,117,,,,AVBA,34,L,,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,44,117,,,,ASTERA,42,AVBA,BRDI3,TRHI4,L,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,45,117,,,,BRHO2,8,BRDI3,L,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,46,117,,,,AVBA,28,ASTERA,L,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,47,117,,,,AVBA,21,BRDI2,AVBA,TRHI4,L,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,48,117,,,,VUMY,18,AVBA,ERBO,BRHO2,L,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,49,117,,,,AVBA,23,LOTUS,BRHO2,L,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-02,2019-05-22,50,117,,,,TRHI4,12,AVBA,L,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-06,2019-04-22,1,110,,,,HOMU,47,BRDI3,L,,,,,,,,,S,,0
"Santa Clara County",SVOS,SVOS-06,2019-04-22,2,110,,,,BRDI3,58,HOMU,L,,,,,,,,,S,,0
